Index,File,Ext,Lines,Imports,Exports,FunctionSites,BrowserGlobalRefs,FindingCount,MaxScore,TopFinding,EvidenceLine,RequiredHardFix
37,bobercad/app/engine/api/project/plate-sketch/relation-metadata.mjs,.mjs,118,1,18,16,0,0,0,none,,
38,bobercad/app/engine/api/project/plate-sketch/relation-mutations.mjs,.mjs,539,3,25,75,0,0,0,none,,
39,bobercad/app/engine/api/project/plate-sketch/relation-preview.mjs,.mjs,54,3,1,3,0,0,0,none,,
40,bobercad/app/engine/api/project/plate-sketch/sketch-geometry-and-relations.mjs,.mjs,508,1,48,56,0,0,0,none,,
41,bobercad/app/engine/api/project/plate-sketch/solver-and-relations.mjs,.mjs,56,1,5,1,0,0,0,none,,
42,bobercad/app/engine/api/project/plate-sketch/solver-core.mjs,.mjs,573,3,3,46,0,0,0,none,,
43,bobercad/app/engine/api/project/plate-sketch/topology.mjs,.mjs,266,3,4,27,0,0,0,none,,
44,bobercad/app/engine/api/project/profiles.mjs,.mjs,37,0,3,7,0,0,0,none,,
45,bobercad/app/engine/api/project/trim-operations.mjs,.mjs,74,0,12,20,0,0,0,none,,
46,bobercad/app/engine/api/project/work-plane.mjs,.mjs,99,1,5,12,0,0,0,none,,
47,bobercad/app/engine/core/format.mjs,.mjs,17,1,1,1,0,0,0,none,,
48,bobercad/app/engine/core/math.mjs,.mjs,358,0,35,58,0,0,0,none,,
49,bobercad/app/engine/core/model.mjs,.mjs,129,1,13,25,0,0,0,none,,
50,bobercad/app/engine/geometry/csg.mjs,.mjs,386,2,16,34,0,0,0,none,,
51,bobercad/app/engine/geometry/cut-features.mjs,.mjs,242,4,2,25,0,0,0,none,,
52,bobercad/app/engine/geometry/evaluators/fastener-evaluator.mjs,.mjs,181,3,2,19,0,0,0,none,,
53,bobercad/app/engine/geometry/evaluators/trim-evaluator.mjs,.mjs,431,8,4,44,0,0,0,none,,
54,bobercad/app/engine/geometry/evaluators/weld-evaluator.mjs,.mjs,278,8,1,33,0,0,0,none,,
55,bobercad/app/engine/geometry/member-evaluator.mjs,.mjs,445,2,7,56,0,0,0,none,,
56,bobercad/app/engine/geometry/member-geometry.mjs,.mjs,95,3,3,13,0,0,0,none,,
57,bobercad/app/engine/geometry/polygon.mjs,.mjs,159,1,3,14,0,0,0,none,,
58,bobercad/app/engine/geometry/reference-plane.mjs,.mjs,57,1,1,8,0,0,0,none,,
59,bobercad/app/engine/modules/smart-components/smart-component-build.mjs,.mjs,576,12,2,17,0,0,0,none,,
60,bobercad/app/engine/modules/smart-components/smart-component-catalog.mjs,.mjs,110,1,12,15,0,0,0,none,,
61,bobercad/app/engine/modules/smart-components/smart-component-creation.mjs,.mjs,418,3,5,29,0,0,0,none,,
62,bobercad/app/engine/modules/smart-components/smart-component-instance-helpers.mjs,.mjs,29,0,5,5,0,0,0,none,,
63,bobercad/app/engine/modules/smart-components/smart-component-model-helpers.mjs,.mjs,120,1,16,16,0,0,0,none,,
64,bobercad/app/engine/modules/smart-components/smart-component-options.mjs,.mjs,111,2,4,16,0,0,0,none,,
65,bobercad/app/engine/modules/smart-components/smart-component-overrides.mjs,.mjs,201,3,8,22,0,0,0,none,,
66,bobercad/app/engine/modules/smart-components/smart-component-parameters-and-definition.mjs,.mjs,265,2,5,28,0,0,0,none,,
67,bobercad/app/engine/modules/smart-components/smart-component-patch-application.mjs,.mjs,103,4,3,8,0,0,0,none,,
68,bobercad/app/engine/modules/smart-components/smart-component-recipe.mjs,.mjs,44,1,1,7,0,0,0,none,,
69,bobercad/app/engine/modules/smart-components/smart-component-registry.mjs,.mjs,135,5,5,19,0,0,0,none,,
70,bobercad/app/engine/modules/smart-components/smart-component-runtime-validation.mjs,.mjs,86,2,15,17,0,0,0,none,,
71,bobercad/app/engine/modules/smart-components/smart-component-runtime.mjs,.mjs,14,4,4,0,0,0,0,none,,
72,bobercad/app/engine/store/project-command-registry.mjs,.mjs,80,1,3,11,0,0,0,none,,
73,bobercad/app/engine/store/project-command-results.mjs,.mjs,35,0,1,4,0,0,0,none,,
74,bobercad/app/engine/store/project-command-store.mjs,.mjs,1033,16,1,92,0,0,0,none,,
75,bobercad/app/engine/store/project-store-model-helpers.mjs,.mjs,693,4,76,90,0,0,0,none,,
76,bobercad/app/engine/store/project-store-plate-sketch-methods.mjs,.mjs,124,0,1,22,0,0,0,none,,
77,bobercad/app/engine/store/project-store-smart-component-helpers.mjs,.mjs,221,9,17,21,0,0,0,none,,
78,bobercad/app/engine/store/project-store-smart-component-methods.mjs,.mjs,319,0,1,9,0,0,0,none,,
79,bobercad/app/engine/store/project-store-trim-methods.mjs,.mjs,173,3,1,20,0,0,0,none,,
80,bobercad/app/engine/store/project-transaction.mjs,.mjs,56,2,1,2,0,0,0,none,,
81,bobercad/app/rendering/annotations/README.md,.md,19,0,0,0,0,0,0,none,,
82,bobercad/app/rendering/annotations/build-dimensions.mjs,.mjs,67,3,1,11,0,0,0,none,,
83,bobercad/app/rendering/annotations/dimension-geometry-and-label-context.mjs,.mjs,622,8,49,82,0,0,0,none,,
84,bobercad/app/rendering/annotations/dimension-registry.mjs,.mjs,35,12,1,1,0,0,0,none,,
85,bobercad/app/rendering/annotations/dimensions/clearance-cut-offset.mjs,.mjs,43,2,1,1,0,0,0,none,,
86,bobercad/app/rendering/annotations/dimensions/fastener-length.mjs,.mjs,22,1,1,1,0,0,0,none,,
87,bobercad/app/rendering/annotations/dimensions/feature-depth.mjs,.mjs,17,1,1,1,0,0,0,none,,
88,bobercad/app/rendering/annotations/dimensions/feature-option-callout.mjs,.mjs,99,4,2,9,0,0,0,none,,
89,bobercad/app/rendering/annotations/dimensions/hole-diameter.mjs,.mjs,21,1,1,1,0,0,0,none,,
90,bobercad/app/rendering/annotations/dimensions/hole-edge-distance.mjs,.mjs,227,1,2,15,0,0,0,none,,
91,bobercad/app/rendering/annotations/dimensions/hole-pattern.mjs,.mjs,40,2,1,6,0,0,0,none,,
92,bobercad/app/rendering/annotations/dimensions/hole-spacing.mjs,.mjs,70,1,1,6,0,0,0,none,,
93,bobercad/app/rendering/annotations/dimensions/interface-offsets.mjs,.mjs,45,3,2,3,0,0,0,none,,
94,bobercad/app/rendering/annotations/dimensions/plate-axis.mjs,.mjs,62,1,1,2,0,0,0,none,,
95,bobercad/app/rendering/annotations/dimensions/plate-reference-plane-offset.mjs,.mjs,24,1,1,1,0,0,0,none,,
96,bobercad/app/rendering/annotations/dimensions/weld-size.mjs,.mjs,57,1,1,1,0,0,0,none,,
97,bobercad/app/rendering/annotations/drafting-dimensions.mjs,.mjs,148,1,5,9,0,0,0,none,,
98,bobercad/app/rendering/interaction/command-controller.mjs,.mjs,171,7,1,23,0,0,0,none,,
99,bobercad/app/rendering/interaction/keyboard-shortcuts.mjs,.mjs,80,1,5,13,0,0,0,none,,
100,bobercad/app/rendering/interaction/manipulator-math.mjs,.mjs,93,2,7,11,0,0,0,none,,
101,bobercad/app/rendering/interaction/member-create-controller.mjs,.mjs,563,10,1,55,0,0,0,none,,
102,bobercad/app/rendering/interaction/member-transform-edit-controller.mjs,.mjs,1169,4,1,89,0,0,0,none,,
103,bobercad/app/rendering/interaction/plate-bend-controller.mjs,.mjs,100,4,1,9,0,0,0,none,,
104,bobercad/app/rendering/interaction/plate-create-controller.mjs,.mjs,484,8,1,35,0,0,0,none,,
105,bobercad/app/rendering/interaction/plate-sketch-drag-edit-controller.mjs,.mjs,1113,8,1,60,0,0,0,none,,
106,bobercad/app/rendering/interaction/plate-sketch/dimension-overlay.mjs,.mjs,384,3,1,8,0,0,0,none,,
107,bobercad/app/rendering/interaction/plate-sketch/drag-edit-constants.mjs,.mjs,14,0,12,0,0,0,0,none,,
108,bobercad/app/rendering/interaction/plate-sketch/drag-edit-dimensions.mjs,.mjs,271,3,1,22,0,0,0,none,,
109,bobercad/app/rendering/interaction/plate-sketch/drag-edit-geometry.mjs,.mjs,347,9,26,48,0,0,0,none,,
110,bobercad/app/rendering/interaction/plate-sketch/drag-edit-helpers.mjs,.mjs,6,5,5,0,0,0,0,none,,
